file,title,current_folder,primary_category,recommended_new_folder,domain_filters,domain_logic,symptom_filters,symptom_logic,notes
docs/troubleshooting/api/i-cant-update-the-ean-of-my-skus-via-api.mdx,I can't update the EAN of my SKUs via API,api,API and integrations,api-and-integrations,Catalog,"The execution surface is the API, but the affected product area is Catalog data and SKU configuration.",Validation error; Setup issue,"The update does not succeed because the existing EAN state and setup must be corrected before the new value can be accepted.",Add explicit cause and verification steps.
docs/troubleshooting/development/i-am-getting-500-errors-in-vtex-io-cli.md,I am getting 500 errors in VTEX IO CLI,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO,"The failure is triggered through VTEX IO CLI usage and belongs to VTEX IO platform behavior.",Runtime error; Setup issue,"The user sees an explicit execution error and likely needs to verify local or platform setup.",Needs clearer escalation path and environment checks.
docs/troubleshooting/development/i-am-getting-errors-with-my-service-configuration-app.md,I am getting errors with my service configuration app,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO; Apps,"The article is about VTEX IO app behavior and a configuration app lifecycle within the app ecosystem.",Validation error; Setup issue,"The errors stem from invalid setup or invalid configuration values during install, link, or publish flows.",Separate install and publish failure paths more clearly.
docs/troubleshooting/development/i-cant-create-a-new-workspace.md,I can't create a new workspace,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO; Search,"Workspace creation belongs to VTEX IO, and Search is the dependent product area involved in the failure.",Setup issue; Runtime error,"The workspace flow breaks because a required dependency is not configured, which surfaces as a runtime failure.",Add explicit possible-cause section before steps.
docs/troubleshooting/development/i-cant-install-an-app-with-a-major-other-than-0x.md,I can't install an app with a major other than 0.x,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO; Apps,"The article is about VTEX IO app versioning rules and app installation behavior.",Installation failure; Validation error,"The user cannot complete installation because version constraints are rejected by validation rules.",Good fit with minor structure cleanup only.
docs/troubleshooting/development/i-cant-install-the-headless-cms-plugins-in-my-account.md,I can't install the Headless CMS plugins in my account,development,Content Management (CMS),content-management-cms,Headless CMS (Legacy); VTEX IO,"The plugins belong to legacy Headless CMS workflows and installation depends on VTEX IO tooling.",Installation failure; Setup issue,"The install flow fails because machine, dependency, or CLI setup is incomplete.",Good fit for CMS category.
docs/troubleshooting/development/i-cant-install-vtex-io-cli.md,I can't install VTEX IO CLI,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO,"The user is installing VTEX IO tooling and interacting directly with VTEX IO platform setup.",Installation failure; Setup issue,"The install breaks because PATH, symlink, or local setup is incorrect.",Needs decision-tree structure by operating system.
docs/troubleshooting/development/i-cant-integrate-my-external-search-provider.md,I can't integrate my external Search Provider,development,Storefront,storefront,Search; Store Framework; VTEX IO,"Search is the main affected area, Store Framework is the storefront context, and VTEX IO is the implementation layer.",Installation failure; Setup issue,"The provider integration cannot be completed because dependency and storefront setup requirements are not satisfied.",Could also be API and integrations but storefront context is stronger.
docs/troubleshooting/development/i-cant-publish-my-theme-due-to-app-dependency.md,I can't publish my theme due to app dependency,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO; Apps; Store Framework,"Publishing happens in VTEX IO, depends on app lifecycle, and blocks a Store Framework theme.",Publishing failure; Validation error,"Publishing is blocked because dependency validation rejects deprecated or unstable versions.",Clarify when to deprecate vs undeprecate.
docs/troubleshooting/development/i-dont-see-my-store-theme-changes.md,I don't see my Store Theme changes,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO; Store Framework,"Theme behavior is managed through VTEX IO and becomes visible in a Store Framework storefront.",Loading failure; Setup issue,"Changes do not appear because theme, linking, or workspace-related setup is stale or conflicting.",Good candidate for a short cause summary at top.
docs/troubleshooting/development/issues-during-extending-the-faststore-api-schema.md,Issues during extending the FastStore API schema,development,Storefront,storefront,FastStore,"FastStore is the implementation context and the article is about storefront schema extension behavior.",Validation error; Setup issue,"The article covers schema and generation failures caused by invalid or incomplete setup.",Too broad and may need to be split later.
docs/troubleshooting/development/modal-layout-closes-when-i-click-a-sku.md,Modal Layout closes when I click a SKU,development,Storefront,storefront,Store Framework; Catalog,"The issue is a storefront component behavior problem tied to product and SKU interaction.",Rendering mismatch; Setup issue,"The storefront renders an unintended behavior because the wrong component is configured for that context.",Strong symptom-driven article.
docs/troubleshooting/development/my-multi-language-store-is-not-working-in-the-development-workspace.md,My multi-language store is not working in the development workspace,development,Storefront,storefront,Store Framework; VTEX IO,"The problem appears in storefront language behavior within a VTEX IO development flow.",Runtime error; Setup issue,"The user sees an explicit runtime error caused by locale or translation setup mismatch.",Add a compact cause summary before solutions.
docs/troubleshooting/development/my-pages-are-taking-too-long-to-be-published-on-headless-cms.md,My pages are taking too long to be published on Headless CMS,development,Content Management (CMS),content-management-cms,CMS; FastStore; Releases,"Publishing starts in CMS, affects FastStore delivery, and depends on Releases/build flow.",Publishing failure; Performance degradation,"The publishing process is delayed or stalls because the delivery pipeline is degraded or blocked.",Needs sharper distinction between release status and build failure.
docs/troubleshooting/development/my-store-catalog-does-not-show-the-price-range-filter.md,My store catalog does not display the price range filter,development,Storefront,storefront,Store Framework; Search; Pricing and Promotions,"The problem is visible in the storefront, tied to search behavior, and affects price-based filter rendering.",Rendering mismatch; Setup issue,"The filter does not render because storefront or search-related setup is incomplete.",Good fit with current scope.
docs/troubleshooting/development/my-store-does-not-reflect-the-overrides-i-created.md,My store does not reflect the overrides I created,development,Content Management (CMS),content-management-cms,CMS; FastStore,"Overrides are managed through CMS-driven content and reflected in a FastStore storefront.",Rendering mismatch; Setup issue,"The storefront output does not match the expected override because implementation or CMS setup is incomplete.",Good fit and good cause-based breakdown.
docs/troubleshooting/development/the-price-in-the-shelf-or-in-the-search-results-is-different-from-the-product-page.md,The Price in the shelf or in the search results is different from the product page,development,Storefront,storefront,Store Framework; Search; Pricing and Promotions,"The mismatch appears in Store Framework UI, is search-driven, and affects pricing or promotional output.",Rendering mismatch; Setup issue,"Prices render inconsistently because the storefront configuration serves stale or non-simulated pricing data.",Title could be shortened and overlap with another pricing article should be clarified.
docs/troubleshooting/development/the-promotion-highlight-flag-does-not-appear-on-the-product.md,The promotion highlight flag does not appear on the product,development,Storefront,storefront,Store Framework; Pricing and Promotions,"The issue is visible in the storefront and depends on promotion-related rendering behavior.",Rendering mismatch; Setup issue,"The expected highlight is missing because promotion or component setup is incomplete.",Strong fit and strong symptom title.
docs/troubleshooting/development/unable-to-access-headless-cms.md,I can't access the Headless CMS,development,Content Management (CMS),content-management-cms,CMS; License Manager; VTEX IO,"The access problem is centered on CMS usage, permission control, and VTEX IO-based CMS operations.",Access restriction; Setup issue,"The user is blocked by permissions or by an invalid local environment setup.",Separate permission and CLI-environment paths more clearly.
docs/troubleshooting/development/vtex-release-cli-command-returns-ebadf-message.md,`vtex release` CLI command returns an EBADF message,development,VTEX IO and app development,vtex-io-and-app-development,VTEX IO,"The failure occurs in VTEX IO release tooling and affects the app release workflow.",Runtime error; Publishing failure,"The user sees a CLI runtime error while trying to publish a new release.",Add applicability limits and validation checklist.
docs/troubleshooting/store-performance/google-analytics-4-is-tracking-inconsistent-data-from-my-store.md,Google Analytics 4 is tracking inconsistent data from my store,store-performance,Analytics and data collection,analytics-and-data-collection,Analytics; Google Analytics; Google Tag Manager,"GA4 is the visible tool, GTM is part of the setup path, and the broader area is analytics collection.",Measurement inconsistency; Setup issue,"The measured data diverges from expected behavior because the analytics implementation is not configured robustly enough.",Add decision point for when server-side tagging is justified.
docs/troubleshooting/store-performance/i-cant-complete-a-purchase-on-a-faststore-website.md,I can't complete a purchase on a FastStore website,store-performance,Checkout and shopping experience,checkout-and-shopping-experience,Checkout; FastStore; DNS,"Checkout is where the user experiences the failure, FastStore is the storefront context, and DNS/SSL is the underlying area to verify.",Access restriction; Setup issue,"The shopper is blocked from proceeding because the secure checkout endpoint is not configured correctly.",Good fit and good user entry point.
docs/troubleshooting/store-performance/my-google-tag-assistant-is-not-working-with-partytown.md,My Google Tag Assistant is not working with Partytown,store-performance,Analytics and data collection,analytics-and-data-collection,Analytics; Google Tag Manager; Google Analytics; FastStore,"The article is about analytics debugging in a FastStore storefront using GTM and GA.",Measurement inconsistency; Runtime error,"Measurement cannot be inspected correctly and script errors may appear when Partytown changes execution behavior.",One of the stronger articles structurally.
